subhalo_id,objid,mass,star_forming,has_agn,classification
58957.jpg,587732591714893851,170957437690.27942,False,True,spiral
193641.jpg,588009368545984617,825583491219.0396,False,True,spiral
158501.jpg,587741723357282317,183323440830.4267,False,False,spiral
87614.jpg,587735742617616406,970863111201.716,False,False,spiral
233063.jpg,588018056733130844,457642131824.9543,False,True,spiral
178875.jpg,587742616173740156,136839664272.44765,False,True,spiral
70250.jpg,587733603732291636,590642916641.1583,False,False,elliptical
70604.jpg,587733604267131173,717199536134.2224,False,True,spiral
36705.jpg,587729652349141047,519086817658.16547,False,False,spiral
100064.jpg,587736915142574202,579504749898.7742,False,True,spiral
192974.jpg,588009365861498889,179016474498.588,False,False,spiral
207422.jpg,588016892788211725,102364648620.19449,False,False,spiral
183905.jpg,587742864214523914,340575968262.4699,False,False,spiral
93683.jpg,587736584436777018,86721743386.36906,True,False,spiral
287217.jpg,587734305413529813,88097381467.53363,False,True,spiral
18331.jpg,587726032268361917,113862312521.01286,False,False,spiral
244813.jpg,588848900980670532,774634793747.6854,False,False,spiral
151792.jpg,587741532236349588,484672077217.617,False,False,spiral
137506.jpg,587739719763558489,104742515566.91983,False,True,spiral
208114.jpg,588017111290150975,711336346481.847,False,False,spiral
274432.jpg,587730847424315402,84264956320.46667,True,False,spiral
164615.jpg,587742014372380829,373954703473.27344,False,False,spiral
106609.jpg,587737825679048796,780753608254.9183,False,False,spiral
84811.jpg,587735665319477506,151068181022.32352,False,False,spiral
141404.jpg,587739811560161312,178684548865.068,False,True,spiral
38031.jpg,587729752211915020,377423554140.79407,False,False,spiral
39426.jpg,587729777453367603,439418158778.5554,False,False,spiral
81756.jpg,587735349099954195,361226830071.13525,False,True,spiral
206856.jpg,588016891177140229,132815572917.80058,False,True,spiral
36794.jpg,587729652353859608,92425540715.95258,False,True,spiral
130334.jpg,587739505014603871,86683811687.58931,False,False,spiral
26015.jpg,587728880346202204,60739050702.82688,True,False,spiral
164335.jpg,587742014352982080,519086817658.16547,False,False,elliptical
11859.jpg,587725775602385217,354011198207.6527,False,False,spiral
175815.jpg,587742576461480147,464963647991.5122,False,False,spiral
45148.jpg,587731522815983870,118162861620.56512,False,False,spiral
92885.jpg,587736546312323291,800333507781.0269,False,False,spiral
166898.jpg,587742061061668951,113130576436.4159,False,False,spiral
58286.jpg,587732582591692862,68908373653.5562,True,False,spiral
94083.jpg,587736584975286330,53695760781.06067,False,False,spiral
138445.jpg,587739720835334202,88775065212.83476,False,False,spiral
204481.jpg,588013383283376276,467971063758.1263,False,False,spiral
