OBJID,mass,star_forming,has_agn,classification
,49257571906.49209,1,0,spiral
,6242333969.097991,0,0,spiral
,9074736010.38317,0,0,spiral
,9736099419.22075,1,0,elliptical
,49593070730.086555,1,0,spiral
,10971575600.588482,1,0,spiral
,23385195233.071766,0,0,spiral
,65044113653.69657,0,0,spiral
,34870485975.48254,1,0,spiral
,2933377793.98769,1,0,spiral
,14954847888.022291,1,0,spiral
,9908114118.317308,1,0,spiral
,11813429666.920916,0,0,spiral
,65371131172.6232,0,0,spiral
,19662195049.488827,0,0,spiral
,79297774687.99176,0,0,spiral
,13193377833.73177,0,0,spiral
,25752773015.61072,0,0,spiral
,55341636823.94609,0,1,spiral
,14868289204.195263,1,0,spiral
,31188464953.39611,1,0,spiral
,17991857387.293545,0,0,spiral
,27789133170.953247,0,0,spiral
,36619971333.8788,0,0,spiral
,37081218777.12455,1,0,spiral
,17810946535.81827,0,0,spiral
,472546988727.9089,0,1,spiral
,9854690744.636192,1,0,elliptical
,6813903834.165734,1,0,spiral
,71102521117.74559,0,0,spiral
,361508072862.65234,0,0,spiral
,42666301700.193054,0,0,spiral
,18990701172.311516,1,0,spiral
,11935922767.643196,1,0,elliptical
,21658880243.622936,0,0,spiral
,44549311859.31034,0,0,spiral
,12162504109.02292,0,0,spiral
,16835731852.53615,1,0,spiral
,331224917047.1093,0,0,spiral
,20149069737.689964,1,0,spiral
,23002127161.06426,1,0,spiral
,10519037418.679865,1,0,spiral
,158686141400.74152,0,0,spiral
,6380239772.136188,0,0,spiral
,31631588339.37249,0,1,elliptical
,9925879532.773266,0,0,spiral
,30026381622.792484,0,0,spiral
,214337914140.8221,0,0,spiral
,303689656260.2985,0,0,spiral
,24477102133.717663,0,0,spiral
,34262890633.806293,0,0,spiral
,6774464947.723986,1,0,spiral
,49858476057.33616,1,0,spiral
,43485052626.193504,0,0,spiral
,6572506132.521408,0,0,spiral
,24723331950.441143,1,0,spiral
,17804877909.36031,1,0,spiral
,243574601110.0108,0,0,elliptical
,13619777099.623737,0,0,spiral
,13516710120.197062,1,0,spiral
,56712135371.06532,0,0,spiral
,16658120526.07669,0,1,spiral
,27314295278.75951,1,0,spiral
,43485052626.193504,1,0,spiral
,9094901501.887268,1,0,spiral
,2337771178.084033,1,0,irregular
,256771016277.59283,0,0,spiral
,21441047551.945415,1,0,spiral
,14868289204.195263,0,0,spiral
,19213920968.006012,1,0,spiral
,80909217316.26477,1,0,spiral
,12575984690.414595,1,0,spiral
,100027865161.24023,0,1,spiral
,40252142360.69705,0,0,spiral
,25238352396.555706,1,0,spiral
,46984758614.80758,1,0,spiral
,20411738695.603497,1,0,spiral
,68051233240.85939,0,0,spiral
,9736099419.22075,1,0,spiral
,20354948129.28879,0,0,spiral
,15942447665.611904,0,0,spiral
,8673632155.767736,1,0,spiral
,39504539168.921135,0,0,spiral
,12319582777.61913,1,0,spiral
,24833332302.44071,0,1,spiral
,4408024503.259579,0,0,spiral
,10897151780.7299,1,0,spiral
,19804733374.663357,0,0,spiral
,22404589958.200943,1,0,spiral
,74968530831.25003,1,0,spiral
,20339112570.243855,0,0,spiral
,12999630256.169546,1,0,spiral
,61950098323.65409,0,0,spiral
,44837459768.19811,0,0,spiral
,2039121012.8151577,1,0,spiral
,38032598612.69371,1,0,spiral
,63285905732.63085,0,0,spiral
,52076285585.678925,0,0,spiral
,29521607374.75601,0,0,elliptical
,38155399049.72923,0,0,spiral
,6104133173.13,1,0,spiral
,50671527925.460655,1,0,spiral
,34388560761.26844,0,0,spiral
,15418211541.545673,1,0,spiral
,25824623582.580532,0,0,irregular
,20971669263.654972,1,0,spiral
,42135582289.6405,0,0,spiral
,23226993585.649628,0,0,spiral
,59641835422.65053,1,0,spiral
,26107242308.85786,1,0,spiral
,6006534833.404874,1,0,spiral
,61777737643.384865,0,0,spiral
